CompanyName,RegionDescription,Year,# Orders
Ernst Handel,Eastern                                           ,1996,4
Wartian Herkku,Eastern                                           ,1996,3
Magazzini Alimentari Riuniti,Eastern                                           ,1996,2
QUICK-Stop,Eastern                                           ,1996,4
Tradição Hipermercados,Eastern                                           ,1996,1
Tortuga Restaurante,Eastern                                           ,1996,2
Romero y tomillo,Eastern                                           ,1996,3
Du monde entier,Eastern                                           ,1996,1
Rattlesnake Canyon Grocery,Eastern                                           ,1996,3
Königlich Essen,Eastern                                           ,1996,2
Bon app',Eastern                                           ,1996,1
LILA-Supermercado,Eastern                                           ,1996,1
Eastern Connection,Eastern                                           ,1996,1
La maison d'Asie,Eastern                                           ,1996,2
Wolski  Zajazd,Eastern                                           ,1996,1
Mère Paillarde,Eastern                                           ,1996,2
Seven Seas Imports,Eastern                                           ,1996,3
Split Rail Beer & Ale,Eastern                                           ,1996,2
Santé Gourmet,Eastern                                           ,1996,1
Save-a-lot Markets,Eastern                                           ,1996,2
Hungry Coyote Import Store,Eastern                                           ,1996,1
Frankenversand,Eastern                                           ,1996,4
Eastern Connection,Eastern                                           ,1997,2
Rattlesnake Canyon Grocery,Eastern                                           ,1997,5
LINO-Delicateses,Eastern                                           ,1997,2
Around the Horn,Eastern                                           ,1997,5
LILA-Supermercado,Eastern                                           ,1997,3
Vaffeljernet,Eastern                                           ,1997,3
White Clover Markets,Eastern                                           ,1997,3
Island Trading,Eastern                                           ,1997,5
Lazy K Kountry Store,Eastern                                           ,1997,1
HILARION-Abastos,Eastern                                           ,1997,4
Ottilies Käseladen,Eastern                                           ,1997,5
Berglunds snabbköp,Eastern                                           ,1997,5
Bon app',Eastern                                           ,1997,6
Richter Supermarkt,Eastern                                           ,1997,2
Königlich Essen,Eastern                                           ,1997,4
Victuailles en stock,Eastern                                           ,1997,3
Reggiani Caseifici,Eastern                                           ,1997,3
Hungry Owl All-Night Grocers,Eastern                                           ,1997,2
Let's Stop N Shop,Eastern                                           ,1997,1
Que Delícia,Eastern                                           ,1997,2
Furia Bacalhau e Frutos do Mar,Eastern                                           ,1997,4
Mère Paillarde,Eastern                                           ,1997,3
Save-a-lot Markets,Eastern                                           ,1997,7
Great Lakes Food Market,Eastern                                           ,1997,2
Frankenversand,Eastern                                           ,1997,4
Lonesome Pine Restaurant,Eastern                                           ,1997,2
Die Wandernde Kuh,Eastern                                           ,1997,2
France restauration,Eastern                                           ,1997,1
Antonio Moreno Taquería,Eastern                                           ,1997,2
Old World Delicatessen,Eastern                                           ,1997,1
Hanari Carnes,Eastern                                           ,1997,4
Gourmet Lanchonetes,Eastern                                           ,1997,4
Franchi S.p.A.,Eastern                                           ,1997,3
Chop-suey Chinese,Eastern                                           ,1997,1
Ernst Handel,Eastern                                           ,1997,6
GROSELLA-Restaurante,Eastern                                           ,1997,1
QUICK-Stop,Eastern                                           ,1997,9
Folies gourmandes,Eastern                                           ,1997,2
Wolski  Zajazd,Eastern                                           ,1997,1
Seven Seas Imports,Eastern                                           ,1997,1
Ricardo Adocicados,Eastern                                           ,1998,4
Split Rail Beer & Ale,Eastern                                           ,1998,1
Drachenblut Delikatessen,Eastern                                           ,1998,2
Bon app',Eastern                                           ,1998,2
Tradição Hipermercados,Eastern                                           ,1998,2
Alfreds Futterkiste,Eastern                                           ,1998,2
Tortuga Restaurante,Eastern                                           ,1998,3
Victuailles en stock,Eastern                                           ,1998,2
Frankenversand,Eastern                                           ,1998,2
Hanari Carnes,Eastern                                           ,1998,3
Godos Cocina Típica,Eastern                                           ,1998,4
Save-a-lot Markets,Eastern                                           ,1998,8
Wellington Importadora,Eastern                                           ,1998,2
Folk och fä HB,Eastern                                           ,1998,3
Santé Gourmet,Eastern                                           ,1998,2
Wilman Kala,Eastern                                           ,1998,3
Rancho grande,Eastern                                           ,1998,1
Vaffeljernet,Eastern                                           ,1998,3
Galería del gastrónomo,Eastern                                           ,1998,1
Magazzini Alimentari Riuniti,Eastern                                           ,1998,2
Ernst Handel,Eastern                                           ,1998,3
Comércio Mineiro,Eastern                                           ,1998,2
Bottom-Dollar Markets,Eastern                                           ,1998,4
HILARION-Abastos,Eastern                                           ,1998,3
QUICK-Stop,Eastern                                           ,1998,4
The Big Cheese,Eastern                                           ,1998,1
Pericles Comidas clásicas,Eastern                                           ,1998,2
B's Beverages,Eastern                                           ,1998,2
Suprêmes délices,Eastern                                           ,1998,5
LINO-Delicateses,Eastern                                           ,1998,5
LILA-Supermercado,Eastern                                           ,1998,3
Rattlesnake Canyon Grocery,Eastern                                           ,1998,2
Blondesddsl père et fils,Eastern                                           ,1996,3
Morgenstern Gesundkost,Eastern                                           ,1996,1
Berglunds snabbköp,Eastern                                           ,1996,1
Vins et alcools Chevalier,Eastern                                           ,1996,2
Lonesome Pine Restaurant,Eastern                                           ,1996,1
Die Wandernde Kuh,Eastern                                           ,1996,2
Folk och fä HB,Eastern                                           ,1996,2
Que Delícia,Eastern                                           ,1996,2
Piccolo und mehr,Eastern                                           ,1996,1
Magazzini Alimentari Riuniti,Eastern                                           ,1997,2
Familia Arquibaldo,Eastern                                           ,1997,3
Consolidated Holdings,Eastern                                           ,1997,1
B's Beverages,Eastern                                           ,1997,2
Queen Cozinha,Eastern                                           ,1997,2
Pericles Comidas clásicas,Eastern                                           ,1997,2
Wartian Herkku,Eastern                                           ,1997,5
Simons bistro,Eastern                                           ,1997,4
Folk och fä HB,Eastern                                           ,1997,2
Ricardo Adocicados,Eastern                                           ,1997,4
Wilman Kala,Eastern                                           ,1997,2
Laughing Bacchus Wine Cellars,Eastern                                           ,1997,1
Tortuga Restaurante,Eastern                                           ,1997,2
Du monde entier,Eastern                                           ,1997,1
Piccolo und mehr,Eastern                                           ,1997,2
Vins et alcools Chevalier,Eastern                                           ,1997,1
Spécialités du monde,Eastern                                           ,1997,1
North/South,Eastern                                           ,1997,1
La maison d'Asie,Eastern                                           ,1997,3
The Big Cheese,Eastern                                           ,1997,1
Old World Delicatessen,Eastern                                           ,1998,1
Laughing Bacchus Wine Cellars,Eastern                                           ,1998,1
Cactus Comidas para llevar,Eastern                                           ,1998,2
La maison d'Asie,Eastern                                           ,1998,1
La corne d'abondance,Eastern                                           ,1998,3
Hungry Owl All-Night Grocers,Eastern                                           ,1998,2
Toms Spezialitäten,Eastern                                           ,1998,1
France restauration,Eastern                                           ,1998,1
Que Delícia,Eastern                                           ,1998,1
Reggiani Caseifici,Eastern                                           ,1998,4
Romero y tomillo,Eastern                                           ,1998,2
Ottilies Käseladen,Eastern                                           ,1998,1
Königlich Essen,Eastern                                           ,1998,1
White Clover Markets,Eastern                                           ,1998,2
Piccolo und mehr,Eastern                                           ,1998,1
Franchi S.p.A.,Eastern                                           ,1998,2
Lehmanns Marktstand,Eastern                                           ,1998,1
Victuailles en stock,Southern                                          ,1996,1
Hanari Carnes,Southern                                          ,1996,1
Wellington Importadora,Southern                                          ,1996,1
Wartian Herkku,Southern                                          ,1996,1
QUICK-Stop,Southern                                          ,1996,1
LILA-Supermercado,Southern                                          ,1996,3
Hungry Owl All-Night Grocers,Southern                                          ,1996,1
Island Trading,Southern                                          ,1996,1
Mère Paillarde,Southern                                          ,1996,1
Rattlesnake Canyon Grocery,Southern                                          ,1996,1
Furia Bacalhau e Frutos do Mar,Southern                                          ,1996,1
Bon app',Southern                                          ,1996,1
Antonio Moreno Taquería,Southern                                          ,1996,1
Hungry Coyote Import Store,Southern                                          ,1996,1
Berglunds snabbköp,Southern                                          ,1996,1
Drachenblut Delikatessen,Southern                                          ,1996,1
Océano Atlántico Ltda.,Southern                                          ,1997,1
Bottom-Dollar Markets,Southern                                          ,1997,3
La maison d'Asie,Southern                                          ,1997,1
Hungry Coyote Import Store,Southern                                          ,1997,1
Wellington Importadora,Southern                                          ,1997,2
Hungry Owl All-Night Grocers,Southern                                          ,1997,2
Split Rail Beer & Ale,Southern                                          ,1997,1
Princesa Isabel Vinhos,Southern                                          ,1997,1
Folk och fä HB,Southern                                          ,1997,2
Blondesddsl père et fils,Southern                                          ,1997,2
Toms Spezialitäten,Southern                                          ,1997,2
Old World Delicatessen,Southern                                          ,1997,2
Ernst Handel,Southern                                          ,1997,2
Berglunds snabbköp,Southern                                          ,1997,4
Königlich Essen,Southern                                          ,1997,1
Rattlesnake Canyon Grocery,Southern                                          ,1997,1
B's Beverages,Southern                                          ,1997,1
Laughing Bacchus Wine Cellars,Southern                                          ,1997,1
Mère Paillarde,Southern                                          ,1997,3
North/South,Southern                                          ,1997,1
Piccolo und mehr,Southern                                          ,1997,1
Lehmanns Marktstand,Southern                                          ,1997,3
QUICK-Stop,Southern                                          ,1997,2
Seven Seas Imports,Southern                                          ,1997,1
Galería del gastrónomo,Southern                                          ,1997,1
Tortuga Restaurante,Southern                                          ,1997,1
Familia Arquibaldo,Southern                                          ,1997,1
Blauer See Delikatessen,Southern                                          ,1997,1
Ana Trujillo Emparedados y helados,Southern                                          ,1997,2
LINO-Delicateses,Southern                                          ,1997,2
Lonesome Pine Restaurant,Southern                                          ,1997,1
Great Lakes Food Market,Southern                                          ,1997,1
Antonio Moreno Taquería,Southern                                          ,1997,1
Ottilies Käseladen,Southern                                          ,1997,1
White Clover Markets,Southern                                          ,1997,2
Morgenstern Gesundkost,Southern                                          ,1997,2
Save-a-lot Markets,Southern                                          ,1997,2
Bon app',Southern                                          ,1997,2
Vins et alcools Chevalier,Southern                                          ,1997,1
Richter Supermarkt,Southern                                          ,1997,2
Franchi S.p.A.,Southern                                          ,1997,1
Folies gourmandes,Southern                                          ,1997,1
Around the Horn,Southern                                          ,1997,2
Vaffeljernet,Southern                                          ,1997,1
HILARION-Abastos,Southern                                          ,1997,1
Victuailles en stock,Southern                                          ,1997,1
Victuailles en stock,Southern                                          ,1998,1
Königlich Essen,Southern                                          ,1998,1
Rattlesnake Canyon Grocery,Southern                                          ,1998,2
Santé Gourmet,Southern                                          ,1998,1
LINO-Delicateses,Southern                                          ,1998,1
Tradição Hipermercados,Southern                                          ,1998,1
Ernst Handel,Southern                                          ,1998,2
Old World Delicatessen,Southern                                          ,1998,1
Antonio Moreno Taquería,Southern                                          ,1998,1
France restauration,Southern                                          ,1998,1
Wilman Kala,Southern                                          ,1998,1
Hungry Owl All-Night Grocers,Southern                                          ,1998,2
Hanari Carnes,Southern                                          ,1998,3
White Clover Markets,Southern                                          ,1998,1
Godos Cocina Típica,Southern                                          ,1998,2
Bottom-Dollar Markets,Southern                                          ,1998,1
Berglunds snabbköp,Southern                                          ,1998,1
Lehmanns Marktstand,Southern                                          ,1998,1
Great Lakes Food Market,Southern                                          ,1998,2
QUICK-Stop,Southern                                          ,1998,2
B's Beverages,Southern                                          ,1998,1
HILARION-Abastos,Southern                                          ,1998,1
Spécialités du monde,Southern                                          ,1998,1
Split Rail Beer & Ale,Southern                                          ,1998,1
The Cracker Box,Southern                                          ,1998,1
Maison Dewey,Southern                                          ,1998,1
Alfreds Futterkiste,Southern                                          ,1998,1
Chop-suey Chinese,Southern                                          ,1998,1
Gourmet Lanchonetes,Southern                                          ,1998,1
North/South,Southern                                          ,1998,1
Hanari Carnes,Eastern                                           ,1996,1
Suprêmes délices,Eastern                                           ,1996,2
HILARION-Abastos,Eastern                                           ,1996,1
Centro comercial Moctezuma,Eastern                                           ,1996,1
Ottilies Käseladen,Eastern                                           ,1996,1
Lehmanns Marktstand,Eastern                                           ,1996,2
Reggiani Caseifici,Eastern                                           ,1996,1
Ricardo Adocicados,Eastern                                           ,1996,1
Island Trading,Eastern                                           ,1996,1
Bólido Comidas preparadas,Eastern                                           ,1996,1
Furia Bacalhau e Frutos do Mar,Eastern                                           ,1996,1
Old World Delicatessen,Eastern                                           ,1996,1
White Clover Markets,Eastern                                           ,1996,2
Familia Arquibaldo,Eastern                                           ,1996,1
Drachenblut Delikatessen,Eastern                                           ,1996,1
Hungry Owl All-Night Grocers,Eastern                                           ,1996,1
Bottom-Dollar Markets,Eastern                                           ,1996,1
Galería del gastrónomo,Eastern                                           ,1997,1
Bottom-Dollar Markets,Eastern                                           ,1997,1
Rancho grande,Eastern                                           ,1997,2
Comércio Mineiro,Eastern                                           ,1997,2
Blauer See Delikatessen,Eastern                                           ,1997,1
Lehmanns Marktstand,Eastern                                           ,1997,1
Trail's Head Gourmet Provisioners,Eastern                                           ,1997,1
Blondesddsl père et fils,Eastern                                           ,1997,2
Hungry Coyote Import Store,Eastern                                           ,1997,1
Tradição Hipermercados,Eastern                                           ,1997,1
Toms Spezialitäten,Eastern                                           ,1997,1
The Cracker Box,Eastern                                           ,1997,1
Godos Cocina Típica,Eastern                                           ,1997,1
Alfreds Futterkiste,Eastern                                           ,1997,2
Maison Dewey,Eastern                                           ,1997,3
Suprêmes délices,Eastern                                           ,1997,2
Bólido Comidas preparadas,Eastern                                           ,1997,1
Wellington Importadora,Eastern                                           ,1997,1
Great Lakes Food Market,Eastern                                           ,1998,3
Around the Horn,Eastern                                           ,1998,2
Berglunds snabbköp,Eastern                                           ,1998,2
Let's Stop N Shop,Eastern                                           ,1998,1
Maison Dewey,Eastern                                           ,1998,1
Océano Atlántico Ltda.,Eastern                                           ,1998,1
Wolski  Zajazd,Eastern                                           ,1998,3
Queen Cozinha,Eastern                                           ,1998,1
Ana Trujillo Emparedados y helados,Eastern                                           ,1998,1
Richter Supermarkt,Eastern                                           ,1998,1
Morgenstern Gesundkost,Eastern                                           ,1998,1
Chop-suey Chinese,Eastern                                           ,1998,2
Lonesome Pine Restaurant,Eastern                                           ,1998,1
Eastern Connection,Eastern                                           ,1998,1
Chop-suey Chinese,Eastern                                           ,1996,1
Queen Cozinha,Eastern                                           ,1996,1
Princesa Isabel Vinhos,Eastern                                           ,1996,1
Princesa Isabel Vinhos,Eastern                                           ,1997,1
Morgenstern Gesundkost,Eastern                                           ,1997,1
Seven Seas Imports,Eastern                                           ,1998,1
Spécialités du monde,Eastern                                           ,1998,1
Toms Spezialitäten,Western                                           ,1996,1
Folk och fä HB,Western                                           ,1996,1
Split Rail Beer & Ale,Western                                           ,1996,2
Rattlesnake Canyon Grocery,Western                                           ,1996,1
Vins et alcools Chevalier,Western                                           ,1996,1
Que Delícia,Western                                           ,1996,1
LILA-Supermercado,Western                                           ,1996,1
Hungry Owl All-Night Grocers,Western                                           ,1996,2
Lonesome Pine Restaurant,Western                                           ,1996,1
La maison d'Asie,Western                                           ,1996,1
Around the Horn,Western                                           ,1996,1
Die Wandernde Kuh,Western                                           ,1996,1
Chop-suey Chinese,Western                                           ,1996,1
Ernst Handel,Western                                           ,1996,1
HILARION-Abastos,Western                                           ,1996,1
Gourmet Lanchonetes,Western                                           ,1997,3
La maison d'Asie,Western                                           ,1997,2
Mère Paillarde,Western                                           ,1997,2
Toms Spezialitäten,Western                                           ,1997,1
Folies gourmandes,Western                                           ,1997,1
Piccolo und mehr,Western                                           ,1997,3
Hungry Owl All-Night Grocers,Western                                           ,1997,3
Save-a-lot Markets,Western                                           ,1997,4
Chop-suey Chinese,Western                                           ,1997,2
Great Lakes Food Market,Western                                           ,1997,2
B's Beverages,Western                                           ,1997,2
Blondesddsl père et fils,Western                                           ,1997,1
Wolski  Zajazd,Western                                           ,1997,1
Queen Cozinha,Western                                           ,1997,4
Alfreds Futterkiste,Western                                           ,1997,1
Folk och fä HB,Western                                           ,1997,1
The Big Cheese,Western                                           ,1997,1
Let's Stop N Shop,Western                                           ,1997,1
Vaffeljernet,Western                                           ,1997,1
Magazzini Alimentari Riuniti,Western                                           ,1997,1
Ernst Handel,Western                                           ,1997,3
Frankenversand,Western                                           ,1997,1
Que Delícia,Western                                           ,1997,1
Seven Seas Imports,Western                                           ,1997,2
Trail's Head Gourmet Provisioners,Western                                           ,1998,1
Blondesddsl père et fils,Western                                           ,1998,1
Ottilies Käseladen,Western                                           ,1998,2
Lonesome Pine Restaurant,Western                                           ,1998,1
Suprêmes délices,Western                                           ,1998,1
Spécialités du monde,Western                                           ,1998,1
Queen Cozinha,Western                                           ,1998,2
Frankenversand,Western                                           ,1998,1
Island Trading,Western                                           ,1998,1
Bottom-Dollar Markets,Western                                           ,1998,3
Blauer See Delikatessen,Western                                           ,1998,1
Gourmet Lanchonetes,Western                                           ,1998,1
Old World Delicatessen,Western                                           ,1998,1
La corne d'abondance,Western                                           ,1998,1
Rancho grande,Western                                           ,1998,1
Wartian Herkku,Western                                           ,1998,1
Save-a-lot Markets,Western                                           ,1998,3
B's Beverages,Western                                           ,1996,1
Godos Cocina Típica,Western                                           ,1996,1
Ana Trujillo Emparedados y helados,Western                                           ,1996,1
Tortuga Restaurante,Western                                           ,1996,1
Pericles Comidas clásicas,Western                                           ,1996,1
Princesa Isabel Vinhos,Western                                           ,1996,1
Simons bistro,Western                                           ,1996,1
Piccolo und mehr,Western                                           ,1996,1
Vaffeljernet,Western                                           ,1996,1
Reggiani Caseifici,Western                                           ,1997,1
Suprêmes délices,Western                                           ,1997,1
White Clover Markets,Western                                           ,1997,1
HILARION-Abastos,Western                                           ,1997,2
Tradição Hipermercados,Western                                           ,1997,1
Lehmanns Marktstand,Western                                           ,1997,2
Antonio Moreno Taquería,Western                                           ,1997,2
Familia Arquibaldo,Western                                           ,1997,1
Die Wandernde Kuh,Western                                           ,1997,1
Santé Gourmet,Western                                           ,1997,2
QUICK-Stop,Western                                           ,1997,1
Océano Atlántico Ltda.,Western                                           ,1997,1
Eastern Connection,Western                                           ,1997,1
Godos Cocina Típica,Western                                           ,1997,1
Wellington Importadora,Western                                           ,1997,1
Du monde entier,Western                                           ,1997,1
Simons bistro,Western                                           ,1997,1
Richter Supermarkt,Western                                           ,1997,1
Wilman Kala,Western                                           ,1997,1
The Cracker Box,Western                                           ,1997,1
Drachenblut Delikatessen,Western                                           ,1997,1
Wellington Importadora,Western                                           ,1998,1
Magazzini Alimentari Riuniti,Western                                           ,1998,1
Ernst Handel,Western                                           ,1998,2
Consolidated Holdings,Western                                           ,1998,1
Bon app',Western                                           ,1998,1
Folk och fä HB,Western                                           ,1998,2
Du monde entier,Western                                           ,1998,1
Lehmanns Marktstand,Western                                           ,1998,1
Maison Dewey,Western                                           ,1998,1
La maison d'Asie,Western                                           ,1998,2
Cactus Comidas para llevar,Western                                           ,1998,1
Océano Atlántico Ltda.,Western                                           ,1998,1
Richter Supermarkt,Western                                           ,1998,1
Godos Cocina Típica,Western                                           ,1998,1
Eastern Connection,Western                                           ,1998,1
HILARION-Abastos,Western                                           ,1998,1
White Clover Markets,Western                                           ,1998,1
Simons bistro,Western                                           ,1998,1
Rattlesnake Canyon Grocery,Northern                                          ,1996,1
GROSELLA-Restaurante,Northern                                          ,1996,1
Tortuga Restaurante,Northern                                          ,1996,1
Berglunds snabbköp,Northern                                          ,1996,1
Lehmanns Marktstand,Northern                                          ,1996,1
QUICK-Stop,Northern                                          ,1996,1
Ricardo Adocicados,Northern                                          ,1996,1
Comércio Mineiro,Northern                                          ,1996,1
Die Wandernde Kuh,Northern                                          ,1996,1
Old World Delicatessen,Northern                                          ,1996,1
The Big Cheese,Northern                                          ,1996,1
Island Trading,Northern                                          ,1996,1
Victuailles en stock,Northern                                          ,1996,1
Pericles Comidas clásicas,Northern                                          ,1996,1
Galería del gastrónomo,Northern                                          ,1996,1
Split Rail Beer & Ale,Northern                                          ,1996,1
Hungry Owl All-Night Grocers,Northern                                          ,1996,1
Around the Horn,Northern                                          ,1996,1
Vaffeljernet,Northern                                          ,1996,1
Ernst Handel,Northern                                          ,1997,4
Folies gourmandes,Northern                                          ,1997,1
Wartian Herkku,Northern                                          ,1997,5
Que Delícia,Northern                                          ,1997,2
Consolidated Holdings,Northern                                          ,1997,1
Reggiani Caseifici,Northern                                          ,1997,2
Victuailles en stock,Northern                                          ,1997,1
Save-a-lot Markets,Northern                                          ,1997,4
Königlich Essen,Northern                                          ,1997,3
Folk och fä HB,Northern                                          ,1997,2
Magazzini Alimentari Riuniti,Northern                                          ,1997,2
Seven Seas Imports,Northern                                          ,1997,1
HILARION-Abastos,Northern                                          ,1997,3
Ricardo Adocicados,Northern                                          ,1997,1
Frankenversand,Northern                                          ,1997,3
Furia Bacalhau e Frutos do Mar,Northern                                          ,1997,1
Cactus Comidas para llevar,Northern                                          ,1997,2
Lehmanns Marktstand,Northern                                          ,1997,2
LILA-Supermercado,Northern                                          ,1997,1
Lazy K Kountry Store,Northern                                          ,1997,1
Mère Paillarde,Northern                                          ,1997,2
Great Lakes Food Market,Northern                                          ,1997,1
White Clover Markets,Northern                                          ,1997,2
Vaffeljernet,Northern                                          ,1997,1
La maison d'Asie,Northern                                          ,1997,2
Blauer See Delikatessen,Northern                                          ,1997,2
Die Wandernde Kuh,Northern                                          ,1997,2
Hungry Coyote Import Store,Northern                                          ,1997,1
Blondesddsl père et fils,Northern                                          ,1997,2
QUICK-Stop,Northern                                          ,1997,2
Old World Delicatessen,Northern                                          ,1997,1
Let's Stop N Shop,Northern                                          ,1997,1
LINO-Delicateses,Northern                                          ,1997,1
Split Rail Beer & Ale,Northern                                          ,1997,1
Hanari Carnes,Northern                                          ,1997,1
Queen Cozinha,Northern                                          ,1997,1
LINO-Delicateses,Northern                                          ,1998,1
Folk och fä HB,Northern                                          ,1998,4
Piccolo und mehr,Northern                                          ,1998,1
QUICK-Stop,Northern                                          ,1998,2
Rattlesnake Canyon Grocery,Northern                                          ,1998,2
Berglunds snabbköp,Northern                                          ,1998,2
Lehmanns Marktstand,Northern                                          ,1998,1
Lonesome Pine Restaurant,Northern                                          ,1998,1
Galería del gastrónomo,Northern                                          ,1998,1
Bon app',Northern                                          ,1998,3
HILARION-Abastos,Northern                                          ,1998,1
Queen Cozinha,Northern                                          ,1998,2
Ernst Handel,Northern                                          ,1998,2
Océano Atlántico Ltda.,Northern                                          ,1998,1
Eastern Connection,Northern                                          ,1998,2
LILA-Supermercado,Northern                                          ,1998,2
Wolski  Zajazd,Northern                                          ,1998,1
Princesa Isabel Vinhos,Northern                                          ,1998,1
Old World Delicatessen,Northern                                          ,1998,1
Drachenblut Delikatessen,Northern                                          ,1998,1
Die Wandernde Kuh,Northern                                          ,1998,1
Cactus Comidas para llevar,Northern                                          ,1998,1
Richter Supermarkt,Northern                                          ,1998,2
Richter Supermarkt,Northern                                          ,1996,1
Ernst Handel,Northern                                          ,1996,1
Save-a-lot Markets,Northern                                          ,1996,1
Bon app',Northern                                          ,1996,1
Familia Arquibaldo,Northern                                          ,1996,1
Bottom-Dollar Markets,Northern                                          ,1997,1
Suprêmes délices,Northern                                          ,1997,1
B's Beverages,Northern                                          ,1997,1
Trail's Head Gourmet Provisioners,Northern                                          ,1997,1
Hungry Owl All-Night Grocers,Northern                                          ,1997,3
Berglunds snabbköp,Northern                                          ,1997,1
Rancho grande,Northern                                          ,1998,1
Island Trading,Northern                                          ,1998,1
Königlich Essen,Northern                                          ,1998,2
Blauer See Delikatessen,Northern                                          ,1998,2
Wellington Importadora,Northern                                          ,1998,1
Reggiani Caseifici,Northern                                          ,1998,1
Around the Horn,Northern                                          ,1998,2
Furia Bacalhau e Frutos do Mar,Northern                                          ,1998,1
Bólido Comidas preparadas,Northern                                          ,1998,1
Maison Dewey,Northern                                          ,1998,1
Hanari Carnes,Northern                                          ,1998,1
